월일,꽃이름,꽃말
12월 31일,월귤,"반항심, 도전"
12월 30일,죽절초,사랑의 열매
12월 29일,호자나무,공존
12월 28일,돈나무,"포용, 한결같은 관심"
12월 27일,수호초,동장군
12월 26일,맥문동,기쁨의 연속
12월 25일,관중,끼리끼리
12월 24일,포인세티아,"축복, 나의 마음은 불타고 있습니다."
12월 23일,속새,환호
12월 22일,자금우,정열
12월 21일,백량금,"가치, 사랑"
12월 20일,애기동백,"자랑, 겸손한 아름다움"
12월 19일,만년청,"상속, 모성애"
12월 18일,풍란,참다운 매력
12월 17일,공작고사리(아디안텀),애교
12월 16일,팔레놉시스(호접란),당신을 사랑합니다.
12월 15일,헬레보러스,존재 이유
12월 14일,크로톤,교태
12월 13일,유자나무,기쁜 소식
12월 12일,소나무,불로장수
12월 11일,산세베리아,관용
12월 10일,빌베르기아,만족
12월 9일,엘라티오르베고니아,진정한 아름다움
12월 8일,칼랑코에,"인기, 설레임"
12월 7일,반다,애정의 표시
12월 6일,덴드로비움,"말괄량이, 미인"
12월 5일,네오레겔리아,만족
12월 4일,후크시아,선물
12월 3일,극락조화,신비
12월 2일,공작선인장,정열
12월 1일,감귤,"순결, 친애"
11월 30일,올리브,평화
11월 29일,왕갯쑥부쟁이,만추의 향연
11월 28일,구즈마니아,만족
11월 27일,처녀치마,"기세, 활달"
11월 26일,백리향,향기
11월 25일,비모란선인장,세계속의 한국
11월 24일,다정큼나무,친밀
11월 23일,협죽도,"주의, 방심은 금물"
11월 22일,꽃향유,"조숙, 성숙"
11월 21일,털머위,한결같은 마음
11월 20일,산국,흉내
11월 19일,마삭줄,"매혹, 속삭임"
11월 18일,송악,한결같은 마음
11월 17일,파리지옥,유혹
11월 16일,안개초,"간절한 기쁨, 밝은 마음"
11월 15일,크립탄서스,만족
11월 14일,행운목,"행운, 행복"
11월 13일,칼라디움,환희
11월 12일,칼라,"환희, 열정"
11월 11일,유칼리,추억
11월 10일,사막장미,지혜
11월 9일,용설란,섬세
11월 8일,큰꿩의비름,"희망, 생명"
11월 7일,오렌지,"순결, 신부의 기쁨"
11월 6일,애기금어초,내 마음을 알아주세요.
11월 5일,눈개쑥부쟁이,찬사
11월 4일,사철나무,"어리석음을 안다, 지혜"
11월 3일,에리카,"고독, 쓸쓸함"
11월 2일,마취목,희생
11월 1일,산부추,보호
10월 31일,거베라,"신비, 풀 수 없는 수수께끼"
10월 30일,측백나무,기대
10월 29일,야고,더부살이
10월 28일,참취,참맛
10월 27일,호프,성의
10월 26일,구절초,가을 여인
10월 25일,천일홍,"불후, 불변"
10월 24일,감국,그윽한 향기
10월 23일,일일초,즐거운 추억
10월 22일,은행나무,장수
10월 21일,괭이밥(옥살리스),당신을 버리지 않음
10월 20일,오미자,다시 만납시다.
10월 19일,해국,침묵
10월 18일,억새,은퇴
10월 17일,바위떡풀,앙증
10월 16일,아스파라거스,불변
10월 15일,수크령,가을의 향연
10월 14일,시클라멘,"수줍음, 질투, 의심"
10월 13일,석류,원숙한 아름다움
10월 12일,샤프란,온화한 미소
10월 11일,사과나무,유혹
10월 10일,비파나무,현명
10월 9일,층꽃나무,허무한 삶
10월 8일,달뿌리풀,유용
10월 7일,박하,덕
10월 6일,산딸나무,희생
10월 5일,담쟁이덩굴,공생
10월 4일,단풍나무,변치 않는 귀여움
10월 3일,꽃아그배나무,산뜻한 미소
10월 2일,목서,유혹
10월 1일,감,자애
9월 30일,염주,은혜
9월 29일,수세미,여유
9월 28일,떡갈나무,"독립, 용기"
9월 27일,부용(히비스커스),섬세한 아름다움
9월 26일,꽃무릇(석산),참사랑
9월 25일,헬리오트로프,"성실, 헌신"
9월 24일,투구꽃,밤의 열림
9월 23일,콜레우스,사랑의 절망
9월 22일,코스모스,소녀의 순정
9월 21일,주목,"명예, 고상함"
9월 20일,조,평등
9월 19일,금강초롱,"각시와 신랑, 청사초롱"
9월 18일,아네모네,"고독, 정조, 성실"
9월 17일,해왕환선인장,순결
9월 16일,금호선인장,"정열, 열정"
9월 15일,살비아,"불타는 마음, 정열"
9월 14일,산사나무,"희망, 유일한 사랑, 관용"
9월 13일,보리수나무,"결혼, 부부의 사랑"
9월 12일,버즘나무(플라타너스),천재
9월 11일,배롱나무,헤어진 벗에게 보내는 마음
9월 10일,미모사,"예민, 섬세, 민감"
9월 9일,맨드라미,"사진, 헛된 장식, 뜨거운 사랑"
9월 8일,모과,유혹
9월 7일,마가목,"조심, 신중"
9월 6일,꽈리,거짓
9월 5일,백양꽃,"초가을의 그리움, 진한 미소"
9월 4일,둥근잎꿩의비름,"토착, 친숙"
9월 3일,물봉선,나를 건드리지 마세요.
9월 2일,국화,"청결, 정조, 순결"
9월 1일,갈대,"신의, 믿음, 지혜, 음악"
8월 31일,해바라기,"동경, 숭배"
8월 30일,포도,"박애, 환희"
8월 29일,뻐꾹나리,당당
8월 28일,칸나,"견실한 최후, 존경"
8월 27일,칡,사랑의 한숨
8월 26일,참깨,기대
8월 25일,생강,신뢰
8월 24일,좀작살나무,총명
8월 23일,용담,슬퍼하고 있을 때의 당신이 좋다.
8월 22일,옥잠화,"침착, 조용"
8월 21일,오리나무,장엄
8월 20일,연꽃,"배신, 청결, 신성, 당신모습이 아름다운 것만큼 마음도 아름답다."
8월 19일,색동호박,나의 마음은 아름답다.
8월 18일,진노랑상사화,내리사랑
8월 17일,땅나리,"발랄, 열정"
8월 16일,하와이무궁화,섬세한 아름다움
8월 15일,부레옥잠,승리
8월 14일,부겐빌리아,정열
8월 13일,봉선화,나를 건드리지 마세요.
8월 12일,바위솔,가사 근면
8월 11일,밤나무,공평
8월 10일,무화과,"풍요한 결실, 열심, 다산"
8월 9일,루드베키아,영원한 행복
8월 8일,도라지,"성실, 품위"
8월 7일,돌가시나무,하얀 미소
8월 6일,마타리,미인
8월 5일,다알리아,"감사, 우아"
8월 4일,능소화,"여성, 명예"
8월 3일,글록시니아,"아양, 미태"
8월 2일,상사화,"기대, 순결한 사랑"
8월 1일,접시꽃,"풍요, 대망"
7월 31일,토끼풀,"희망이 이뤄짐, 행운"
7월 30일,해오라비난초,꿈에서라도 만나고 싶다.
7월 29일,우엉,인격자
7월 28일,꽃양귀비,위안
7월 27일,싸리,생각
7월 26일,땅채송화,씩씩함
7월 25일,수련,당신의 사랑은 알 수 없습니다.
7월 24일,노랑어리연꽃,수면의 요정
7월 23일,센토레아(수레국화),"행복, 섬세, 유쾌"
7월 22일,설악초,"환영, 축복"
7월 21일,술패랭이,"무욕, 평정"
7월 20일,만병초,"위엄, 존엄"
7월 19일,밀짚꽃,항상 기억하라
7월 18일,미나리,성의
7월 17일,무궁화,"은근, 끈기, 섬세한 아름다움"
7월 16일,목화,"어머니의 사랑, 당신은 기품이 높다."
7월 15일,하늘매발톱,부지런
7월 14일,매발톱꽃,"보라색 버림받은 애인, 흰색 우둔, 적색 염려"
7월 13일,델피니움,"가벼움, 경솔, 제 마음을 헤아려 주세요."
7월 12일,참나리,기개
7월 11일,디기탈리스,"열애, 불성실, 화려"
7월 10일,원추리,"기다리는 마음, 하루만의 아름다움"
7월 9일,등나무,결속
7월 8일,댑싸리,고백
7월 7일,닭의장풀,시샘
7월 6일,달맞이꽃,기다림
7월 5일,나팔꽃,"풋사랑, 덧없는 사랑, 기쁨"
7월 4일,큰금계국,상쾌한 기분
7월 3일,쑥부쟁이,평범한 진리
7월 2일,말발도리,애교
7월 1일,과꽃,"믿는 사랑, 추억"
6월 30일,뽕나무,"지혜, 봉사"
6월 29일,프렌치매리골드,냉혹한 사랑
6월 28일,토마토,완성된 아름다움
6월 27일,토레니아,가련한 욕망
6월 26일,풍접초(클레오메),불안정
6월 25일,초롱꽃,"인도, 침묵"
6월 24일,채송화,가련함
6월 23일,복주머니란(개불알꽃),튀는 아름다움
6월 22일,종꽃,아양떠는 모습
6월 21일,인동,사랑의 연인
6월 20일,엉겅퀴,건드리지 마세요
6월 19일,알리움,무한한 슬픔
6월 18일,아프리칸매리골드,"질투, 비애"
6월 17일,딸기,"질투, 시기"
6월 16일,아게라텀,신뢰
6월 15일,아가판서스,"사랑의 편지, 사랑의 소식, 사랑이 찾아옴"
6월 14일,수국,"냉정, 무정, 거만"
6월 13일,분꽃,"소심, 수줍음"
6월 12일,부들,거만
6월 11일,버베나,단결
6월 10일,백합(나리),"순결, 깨끗한 마음"
6월 9일,미나리아재비,말의 발자국
6월 8일,메꽃,서서히 깊숙이 들어가다.
6월 7일,동자꽃,나의 진정을 받아 주세요.
6월 6일,이팝나무,충절
6월 5일,도깨비부채,"행복, 즐거움"
6월 4일,꽃창포,"우아한 마음, 좋은 소식"
6월 3일,꼬리조팝나무,은밀한 사랑
6월 2일,섬말나리,더 이상 고귀할 수 없다.
6월 1일,글라디올러스,"밀회, 조심"
5월 31일,플록스,내 가슴은 정열에 불타고 있습니다.
5월 30일,패랭이꽃,정절
5월 29일,태산목,위엄
5월 28일,클레마티스,"고결, 아름다운 마음"
5월 27일,노루오줌,쑥스러움
5월 26일,카네이션,"여성의 애정, 모정"
5월 25일,찔레,온화
5월 24일,대나무,정절
5월 23일,산마늘,마음을 편하게 가지세요.
5월 22일,뻐꾹채,나그네
5월 21일,불두화,"은혜, 베품"
5월 20일,용머리,승천
5월 19일,장미,"열렬한 사랑, 질투, 순결"
5월 18일,작약,수줍음
5월 17일,은방울꽃,틀림없이 행복해 집니다.
5월 16일,개오동나무,고상
5월 15일,스타티스,영원한 사랑
5월 14일,붓꽃,"좋은 소식, 사랑의 메시지"
5월 13일,백합나무(튤립나무),조용
5월 12일,물푸레나무,겸손
5월 11일,하늘나리,"길들여지지 않음, 변치 않는 귀여움"
5월 10일,해당화,"온화, 원망"
5월 9일,모란,"부귀, 영화, 성실"
5월 8일,칠엽수,천재
5월 7일,루피너스,"탐욕, 삶의 욕구"
5월 6일,당아욱,"자애, 어머니의 사랑"
5월 5일,철쭉,"정열, 명예"
5월 4일,꽃아까시나무,단결
5월 3일,금잔화,이별의 슬픔
5월 2일,노랑무늬붓꽃,절제된 아름다움
5월 1일,금어초,욕망
4월 30일,돌단풍,미덕
4월 29일,민들레,"사랑의 신탁, 불사신"
4월 28일,회양목,"금욕, 금기"
4월 27일,동의나물,"다가올 행복, 금잔"
4월 26일,한련화,"애국심, 변덕"
4월 25일,포플러,"비탄, 애석"
4월 24일,페튜니아,사랑의 방해
4월 23일,봄맞이꽃,봄의 속삭임
4월 22일,전나무(젓나무),장엄
4월 21일,자작나무,당신을 기다립니다.
4월 20일,으름,재능
4월 19일,월계수,불변
4월 18일,아이리스,"좋은 소식, 변덕스러움"
4월 17일,아디안텀,애교
4월 16일,수양버들,"비애, 추도"
4월 15일,살구,처녀의 부끄러움
4월 14일,꽃댕강나무,평안함
4월 13일,명자꽃,"신뢰, 수줍음"
4월 12일,배나무,환상
4월 11일,박태기나무,"우정, 의혹"
4월 10일,물망초,"진실한 사랑, 나를 잊지 마세요."
4월 9일,목련,자연에의 사랑
4월 8일,천남성,현혹
4월 7일,매실나무,"깨끗한 마음, 결백"
4월 6일,금낭화,당신을 따르겠습니다
4월 5일,애기나리,요정들의 소풍
4월 4일,라일락,젊은 날의 추억
4월 3일,라넌큘러스,"비난, 화사한 매력"
4월 2일,꽃베고니아,"친절, 정중"
4월 1일,개나리,희망
3월 31일,앉은부채,내버려두세요.
3월 30일,현호색,희소식
3월 29일,바람꽃,"당신만이 볼 수 있어요, 덧없는 사랑"
3월 28일,각시붓꽃,"부끄러움, 세련됨"
3월 27일,얼레지,여인
3월 26일,할미꽃,공경
3월 25일,미선나무,모든 슬픔이 사라진다.
3월 24일,노루귀,"위로, 인내"
3월 23일,삼지닥나무,당신을 맞이합니다.
3월 22일,피나물,보이는 것이 전부가 아닙니다.
3월 21일,히아신스,"마음의 기쁨, 승리"
3월 20일,황매화,"숭고, 고귀, 왕성"
3월 19일,팬지,"쾌활한 마음, 나를 생각해 주세요."
3월 18일,솜방망이,안전합니다.
3월 17일,노루발풀,은인
3월 16일,튜립,"자애, 명성, 명예"
3월 15일,양지꽃,봄
3월 14일,진달래,절제
3월 13일,조팝나무,매력
3월 12일,제비꽃,"나를 생각해 주세요, 순진한 사랑"
3월 11일,남산제비꽃,풋향기 나는 가인
3월 10일,유채,"명랑, 기분전환"
3월 9일,히어리,봄의 노래
3월 8일,시네라리아,마음의 괴로움
3월 7일,서향,"불멸, 명예"
3월 6일,산수유,"지속, 불변"
3월 5일,벚나무,"정신의 아름다움, 가인"
3월 4일,버드나무,"정화, 경쾌"
3월 3일,잉글리쉬데이지,"순진, 평화"
3월 2일,고사리,"신비, 요술"
3월 1일,갯버들,"자유, 친절"
2월 29일,우산나물,편히 쉬세요
2월 28일,솜다리,숭고한 사랑
2월 27일,깽깽이풀,안심하세요
2월 26일,렉스베고니아,정중
2월 25일,석위,긴장
2월 24일,고란초,포기하지 마세요.
2월 23일,프리지아,"순결, 순진한 마음"
2월 22일,탱자나무,추억
2월 21일,너도밤나무,"번영, 창조"
2월 20일,필레아,기분 전환
2월 19일,끈끈이주걱,발을 조심하세요
2월 18일,제라늄,당신의 생각이 나를 떠나지 않습니다.
2월 17일,에크메아,만족
2월 16일,골담초,"청초, 겸손"
2월 15일,안스리움,번뇌
2월 14일,아잘레아,사랑의 기쁨
2월 13일,솜나물,발랄
2월 12일,산거울,강인함
2월 11일,복수초,"영원한 행복(동양), 슬픈 추억(서양)"
2월 10일,스위트피,"기쁨, 가련"
2월 9일,스노우드롭,"희망, 위안"
2월 8일,산자고,가녀린 미소
2월 7일,무스카리,"실망, 실의"
2월 6일,레몬,"성실한 사랑, 정절"
2월 5일,디펜바키아,경계
2월 4일,코르딜리네,당신 곁에 있겠습니다.
2월 3일,동백나무,"겸손한 아름다움, 자랑"
2월 2일,냉이,나의 모든 것을 바칩니다.
2월 1일,남천,지속적인 사랑
1월 31일,네펜데스,끈기
1월 30일,칼세올라리아,나의 재산을 드립니다.
1월 29일,괭이눈,순간의 아름다움
1월 28일,프리뮬러,소년시절의 희망
1월 27일,구상나무,기개
1월 26일,꽝꽝나무,굳은 의지
1월 25일,산호수,"용감, 총명"
1월 24일,굴거리나무,자리를 내어줌
1월 23일,사스레피나무,당신은 소중합니다.
1월 22일,호랑가시나무,보호
1월 21일,파초,기다림
1월 20일,우단일엽,작은 평화
1월 19일,아프리칸 바이올렛,작은사랑
1월 18일,팔손이,"분별, 비밀"
1월 17일,벤자민고무나무,변덕쟁이
1월 16일,크로커스,"믿는 기쁨, 청춘의 기쁨"
1월 15일,온시디움,순박한 마음
1월 14일,카틀레야,당신은 미인입니다.
1월 13일,치자나무,청결
1월 12일,브리세아,만족
1월 11일,앵초,번영
1월 10일,우묵사스레피,기억 속에 새기다.
1월 9일,아마릴리스,"수다쟁이, 눈부신 아름다움"
1월 8일,아나나스,"미래를 즐긴다, 만족"
1월 7일,스토크,"영원한 아름다움, 사랑의 굴레"
1월 6일,파키라,행운
1월 5일,수선화,"자만심, 자존심, 자신만을 사랑하다"
1월 4일,삼나무,"견고, 자신감"
1월 3일,군자란,고귀
1월 2일,나도풍란,인내
1월 1일,향나무,영원한 향기
